"Str #","Mall Name","Developer","City","ST","ZIP Code","Market Area","Gross SqFt (Lease) ","Sales Area SqFt (Cnstr)","REC Approve Date","Original Opening ","Remodel Date","Lease Expires","Sales Projection","TY TTM Sales","TY Sales PSF","TY TTM Op Inc","TY TTM CF","Sales % ? vs. LY","LY TTM Sales","LY Sales PSF","LY TTM Op Inc","LY TTM CF","TTM R&O","R&O % Sales","Tenant Allowance PSF","Center Type","Cluster Name","Center Rank","Mall GLA","Shop GLA","Mall Sales PSF ","Mall Sales PSF Date ","RM / DM Wishlist","Top Tier ""A""","Forever 21","State/Area","Mills/Outlet","Street","Store Prototype ","Center Cashwrap (Y/N)","Entry Soffit (Y/N)","Cashwrap Soffit (Y/N)","Illuminated Accessory Wall (Y/N)","Illuminated Shoe Wall (Y/N)","Illuminated Window Walls (Y/N)","Floor Finish ","Brite Store Make-Up"
80,"Walden Galleria","Pyramid","Buffalo","NY",14225,"Buffalo--Niagara Falls, NY MSA","6,040","4,348","8/15/2006","4/1/1999","9/21/2007","1/31/2018","$1,900,000 ","$2,121,468 ","$351 ","$205,931 ","$318,083 ","-6%","$2,262,281 ","$375 ","$399,851 ","$506,803 ","$428,337 ","20.20%","$45 ","M","Mall","A","1,600,000","1,043,806","$597 ","8-Jul",,,"F21",,,,"Brite Store","Yes","Yes","Yes","Yes","Yes","Yes","Vinyl","Full"
81,"Stratford Square","Feldman Properties","Bloomingdale","IL",60108,"Chicago-Gary-Kenosha, IL-IN-WI","8,472","6,737","6/3/1998","5/13/1999",,"1/31/2013","$1,600,000 ","$1,156,450 ","$137 ","$26,901 ","$97,336 ","-14%","$1,339,422 ","$158 ","$204,307 ","$230,631 ","$196,419 ","17.00%","$33 ","M","Rural","D","1,300,000","486,000","$290 ","10-Jul",,,"F21",,,,"Linda Krueger","No","No","No","No","No","No","Carpet/Tile","None"
82,"Hamilton Mall","Simon","Mays Landing","NJ",8330,"Philadelphia-Wil-Atl Cty, PA-NJ-DE-MD","6,058","4,410","3/7/2007","5/26/2000","7/13/2007","1/31/2017","$1,800,000 ","$1,540,953 ","$254 ","$96,053 ","$151,094 ","-18%","$1,873,614 ","$309 ","$309,168 ","$401,381 ","$373,131 ","24.20%","$50 ","M","Rural","B","1,028,500","694,305","$445 ","8-Oct",,,,,,,"Brite Store","Yes","No","Yes","Yes","Yes","Yes","Vinyl","Partial"
83,"Franklin Mills","Simon/Mills Corp","Philadelphia","PA",19154,"Philadelphia-Wil-Atl Cty, PA-NJ-DE-MD","11,712","9,679","12/11/1998","7/1/1999","2/4/2005","1/31/2012","$2,400,000 ","$1,248,036 ","$107 ","($304,920)","($262,463)","-20%","$1,567,594 ","$134 ","($60,617)","($20,615)","$522,600 ","41.90%","$20 ","O","Outlet","B","1,742,823","898,139","$365 ","10-Sep",,,,,,,"Mills Old","Yes","No","No","No","No","No","Sealed Concrete","None"
84,"Plaza Del Sol","DDR","Sierra Bayamon","PR",961,"Puerto Rico","7,142","6,210","6/1/1998","8/12/1999","11/8/2002","8/31/2014","$3,000,000 ","$1,878,224 ","$263 ","($140,099)","($97,073)","-4%","$1,946,665 ","$273 ","$37,901 ","$91,256 ","$494,206 ","26.30%","$0 ","M","Mall","A","675,794",,"$530 ","8-Jul",,,,"PR",,,"Old Standard","No","No","No","No","No","No","Carpet/Tile","None"
85,"Highland Mall","GGP","Austin","TX",78752,"Austin--San Marcos, TX MSA","7,270","5,682","12/11/1998","8/26/1999",,"1/31/2011","$1,600,000 ","$886,581 ","$122 ","$35,511 ","$71,898 ","-20%","$1,106,352 ","$152 ","($22,722)","$53,426 ","$76,639 ","8.60%","$34 ","M","Urb/Sub","D","1,082,000","346,563","$275 ","9-Sep",,,"F21",,,,"Old Standard","No","No","No","No","No","No","Carpet/Tile","None"
86,"Orange Park Mall","Simon","Orange Park","FL",32073,"Jacksonville, FL MSA","5,891","4,397","2/3/1999","8/26/1999",,"1/31/2010","$1,500,000 ","$1,184,545 ","$201 ","($24,002)","$86,971 ","-7%","$1,274,240 ","$216 ","$145,934 ","$182,289 ","$219,480 ","18.50%","$55 ","M","Rural","C","918,623","314,303","$342 ","10-Jun",,,,,,,"Old Standard","No","No","No","No","No","No","Carpet/Tile","None"
87,"Mall of Georgia","Simon","Buford","GA",30519,"Atlanta, GA MSA","6,667","4,917","1/26/1998","8/13/1999",,"1/31/2012","$2,000,000 ","$1,393,217 ","$209 ","($49,226)","($1,830)","-8%","$1,520,422 ","$228 ","$83,932 ","$103,254 ","$394,076 ","28.30%","$50 ","M","Urb/Sub","B","1,558,700","440,000","$488 ","10-Sep",,,"F21",,,,"Old Standard","No","No","No","No","No","No","Carpet/Tile","None"
88,"North Georgia Premium Outlets","Chelsea Property Group","Dawsonville","GA",30534,,"7,008","5,646","8/2/2006","10/28/1999","5/25/2007","1/31/2017","$1,500,000 ","$1,553,856 ","$222 ","$114,026 ","$207,115 ","3%","$1,507,845 ","$215 ","$212,190 ","$279,495 ","$233,215 ","15.00%","$10 ","O","Outlet","B","537,000",,"$373 ","9-Feb",,,,,,,"Brite Store","Yes","No","No","Yes","Yes","Yes","Vinyl","Partial"
89,"Meriden","Westfield Corp.","Meriden","CT",6451,"New Haven-Bridgeport-stamford-Waterbury-Danbury, CT","7,001","5,644","8/3/1998","9/1/1999",,"1/31/2011","$1,600,000 ","$1,143,616 ","$163 ","$124,458 ","$124,458 ","-10%","$1,274,983 ","$182 ","$113,864 ","$85,100 ","$102,211 ","8.90%","$50 ","M","Urb/Sub","C","746,695","311,869","$340 ","10-Apr",,,"F21",,,,"Old Standard","No","No","No","No","No","No","Carpet/Tile","None"
90,"Concord Mills","Simon/Mills Corp","Concord","NC",28027,"Charlotte--Gastonia--Rock Hill, NC--SC MSA","9,372","7,096","4/14/2006","9/17/1999","10/13/2006","1/31/2017","$2,200,000 ","$2,058,210 ","$220 ","$169,825 ","$360,626 ","5%","$1,966,040 ","$210 ","$363,950 ","$453,936 ","$284,526 ","13.80%","$27 ","O","Outlet","B","1,400,000","604,557","$405 ","10-Sep",,,"F21",,,,"Brite Store","Yes","No","No","Yes","Yes","No","Vinyl","Partial"
91,"Jersey Gardens","Glimcher Properties","Elizabeth","NJ",7201,"NY-N. NJ-Long Island, NY-NJ-CT-PA","9,162","7,613","3/7/2007","10/21/1999","8/17/2007","1/31/2015","$2,400,000 ","$3,178,955 ","$347 ","$542,083 ","$649,717 ","5%","$3,029,343 ","$331 ","$563,151 ","$679,970 ","$413,810 ","13.00%","$50 ","O","Outlet","A","1,600,000","800,000","$573 ","9-Sep",,,"F21",,,,"Brite Store","Yes","No","No","Yes","Yes","Yes","Vinyl","Partial"
92,"Temecula, Promenade in ","Forest City","Temecula","CA",92591,"Riverside-San Bernardino-Ontario, CA MSA","7,346","5,681","5/11/2007","10/27/1999","8/3/2007","12/31/2011","$3,500,000 ","$2,279,416 ","$310 ","$435,370 ","$523,003 ","-7%","$2,447,055 ","$333 ","$622,810 ","$728,235 ","$123,975 ","5.40%","$82 ","M","Urb/Sub","B","747,028","345,980","$420 ","8-Aug",,,,,,,"Brite Store","Yes","No","No","Yes","Yes","Yes","Vinyl","Partial"
93,"Katy Mills","Simon/Mills Corp","Katy","TX",77494,"Houston-Galveston-Brazoria, TX","9,547","7,487","6/15/1998","10/28/1999","9/8/2006","1/31/2017","$2,200,000 ","$1,680,137 ","$176 ","($47,753)","$116,780 ","-23%","$2,182,197 ","$229 ","$435,745 ","$510,105 ","$275,217 ","16.40%","$27 ","O","Outlet","B","1,300,000","594,800","$374 ","10-May",,,"F21",,,,"Brite Store","Yes","No","No","Yes","Yes","No","Vinyl","Partial"
94,"Providence Place","GGP","Providence","RI",2903,"Providence--Fall River--Warwick, RI--MA MSA","7,400","5,415","9/6/2007","11/20/1999","6/17/2008","1/31/2019","$3,000,000 ","$2,310,905 ","$312 ","$30,347 ","$158,961 ","2%","$2,267,854 ","$306 ","$161,842 ","$353,478 ","$551,650 ","23.90%","$4 ","M","Mall","A","1,300,000","430,000","$597 ","8-Jun",,,"F21",,,,"Brite Store","Yes","No","No","Yes","Yes","Yes","Vinyl","Partial"
96,"Tri-County Mall","Urban Retail Properties","Cincinnati","OH",45246,"Cincinnati-Hamilton, OH-KY-IN","6,788","5,864","3/19/2008","9/9/2000","8/6/2010","1/31/2021","$2,000,000 ","$1,257,572 ","$185 ","($23,046)","$45,905 ","-13%","$1,449,435 ","$214 ","$146,692 ","$184,596 ","$266,622 ","21.20%","$60 ","M","Urb/Sub","C","1,348,878","444,058","$350 ","9-Feb",,,"F21",,,,"Old Standard","No","No","No","No","No","No","Carpet/Tile","None"
97,"Florida Mall, The ","Simon","Orlando","FL",32809,"Orlando, FL MSA","8,417","6,475","3/31/2006","11/5/1999","10/15/2006","1/31/2017","$3,000,000 ","$3,189,051 ","$379 ","$173,077 ","$364,692 ","-10%","$3,537,670 ","$420 ","$523,849 ","$719,130 ","$678,498 ","21.30%","$40 ","M","Mall","A","1,608,000","868,154","$780 ","8-Jul",,,"F21",,,,"Brite Store","Yes","Yes","Yes","Yes","Yes","Yes","Vinyl","Full"
98,"River Town Crossings","GGP","Grandville","MI",49418,"Grand Rapids--Muskegon--Holland, MI MSA","5,533","3,990","5/14/2009","11/3/1999","11/10/2009","1/31/2020","$2,100,000 ","$2,623,113 ","$474 ","$502,045 ","$664,477 ","6%","$2,471,949 ","$447 ","$636,741 ","$681,218 ","$241,436 ","9.20%","$50 ","M","Urb/Sub","B","1,256,814","398,913","$462 ","8-Jun",,,,,,,"L.A Boutique","No","Yes","No","Yes","No","No","Tile","Tile"
99,"EastView Mall","Wilmorite, Inc.","Victor","NY",14564,"Rochester, NY MSA","5,701","4,282","2/28/2010","11/24/1999",2011,"2/28/2020","$1,561,243 ","$1,515,520 ","$266 ","$165,044 ","$194,966 ","-3%","$1,561,243 ","$274 ","$214,316 ","$298,007 ","$272,964 ","18.00%","$58 ","M","Urb/Sub","B","1,350,000","535,629","$425 ","9-Sep",,,"F21",,,,"Old Standard","No","No","No","No","No","No","Carpet/Tile","None"
100,"Countryside","Westfield Corp.","Clearwater","FL",33761,"Tampa--St. Petersburg--Clearwater, FL MSA","7,155","5,479","2/9/1999","10/14/2000",,"1/31/2011","$1,900,000 ","$1,160,910 ","$162 ","($101,943)","($1,102)","-11%","$1,307,064 ","$183 ","$58,869 ","$116,466 ","$228,644 ","19.70%","$50 ","M","Urb/Sub","C","1,115,000","395,000","$350 ","10-Jul",,,"F21",,,,"Old Standard","No","No","No","No","No","No","Carpet/Tile","None"
101,"Arbor Place","CBL","Douglasville","GA",30135,"Atlanta, GA MSA","7,200","5,678","1/20/2010","10/13/1999",,"1/31/2021","$1,180,250 ","$1,020,519 ","$142 ","($20,435)","$16,095 ","-14%","$1,180,250 ","$164 ","$11,008 ","$118,846 ","$214,367 ","21.00%","$71 ","M","Rural","C","1,254,991","300,000","$337 ","9-Sep",,,,,,,"Old Standard","No","No","No","No","No","No","Carpet/Tile","None"
102,"Park Place","GGP","Tucson","AZ",85711,"Tucson, AZ MSA","6,550","5,185","3/31/2006","5/18/2000","10/20/2006","1/31/2017","$1,700,000 ","$1,935,023 ","$295 ","$99,510 ","$248,147 ","-21%","$2,452,297 ","$374 ","$444,203 ","$599,808 ","$318,628 ","16.50%","$50 ","M","Mall","B","1,050,000","449,685","$490 ","10-Jul",,,"F21",,,,"Brite Store","Yes","No","No","Yes","Yes","No","Vinyl","Partial"
103,"Holyoke Mall","Pyramid","Holyoke","MA",1040,"Springfield, MA MSA","7,704","5,667","1/22/2007","2/24/2000","3/28/2008","1/31/2016","$1,900,000 ","$1,570,745 ","$204 ","($131,046)","($20,060)","-12%","$1,789,840 ","$232 ","$71,899 ","$173,841 ","$479,050 ","30.50%","$45 ","M","Urb/Sub","B","1,500,000","653,342","$480 ","8-Jul",,,"F21",,,,"Brite Store","Yes","No","No","Yes","Yes","Yes","Vinyl","Partial"
104,"Crossgates Mall","Pyramid","Albany","NY",12203,"Albany--Schenectady--Troy, NY MSA","7,782","6,252","1/22/2007","2/25/2000","3/25/2008","1/31/2016","$2,000,000 ","$1,990,071 ","$256 ","$54,175 ","$198,232 ","-11%","$2,237,457 ","$288 ","$375,919 ","$449,525 ","$454,304 ","22.80%","$45 ","M","Urb/Sub","B","1,700,000","700,000","$500 ","8-Oct",,,"F21",,,,"Brite Store","Yes","No","No","Yes","Yes","Yes","Vinyl","Partial"
105,"Great Mall-Bay Area","Simon/Mills Corp","Milpitas","CA",95035,"San Jose-Sunnyvale-Santa Clara","7,583","6,076","9/6/2007","4/27/2000","8/26/2008","4/30/2012","$2,500,000 ","$1,532,781 ","$202 ","($235,894)","($136,223)","1%","$1,523,811 ","$201 ","$31,939 ","$122,704 ","$310,101 ","20.20%","$0 ","O","Outlet","A","1,250,000","600,000","$491 ","10-Sep",,,"F21",,,,"Brite Store","Yes","No","Yes","Yes","Yes","Yes","Vinyl","Partial"
106,"Crystal Run, The Galleria at ","Pyramid","Middletown","NY",10941,"NY-N. NJ-Long Island, NY-NJ-CT-PA","7,335","5,704","7/21/1999","3/2/2000",,"1/31/2011","$1,600,000 ","$840,031 ","$115 ","($243,209)","($238,969)","-22%","$1,072,198 ","$146 ","($83,749)","($69,640)","$403,880 ","48.10%","$45 ","M","Urb/Sub","B","1,043,000",,"$380 ","9-Dec",,,"F21",,,,"Old Standard","No","No","No","No","No","No","Carpet/Tile","None"
107,"Quaker Bridge Mall","Simon","Lawrenceville","NJ",8648,"NY-N. NJ-Long Island, NY-NJ-CT-PA","6,268","4,396","1/20/1999","7/7/2000",,"1/31/2011","$1,700,000 ","$925,560 ","$148 ","($293,485)","($200,606)","-22%","$1,187,084 ","$189 ","($43,288)","($13,115)","$362,945 ","39.20%","$50 ","M","Urb/Sub","B","1,121,000","395,133","$365 ","10-Jun",,,"F21",,,,"Old Standard","No","No","No","No","No","No","Carpet/Tile","None"
108,"Dulles Town Center","Lerner Enterprises","Dulles","VA",20166,"Washington-Baltimore, DC-MD-VA-WV","7,508","5,994","8/18/1999","6/16/2000",,"1/31/2011","$2,100,000 ","$1,558,286 ","$208 ","($73,214)","$36,552 ","4%","$1,492,505 ","$199 ","$25,512 ","$80,963 ","$476,611 ","30.60%","$60 ","M","Urb/Sub","B","1,432,153","365,000","$390 ","10-Aug",,,,,,,"Old Standard","No","No","No","No","No","No","Carpet/Tile","None"
109,"Sunvalley Shopping Center","Taubman","Concord","CA",94520,"San Francisco-Oakland-Fremont, CA","7,581","5,755","5/11/2007","10/9/2000","6/27/2008","1/31/2018","$3,000,000 ","$2,047,067 ","$270 ","($304,980)","($114,919)","-4%","$2,142,335 ","$283 ","$28,403 ","$179,306 ","$660,562 ","32.30%","$0 ","M","Urb/Sub","B","1,400,000","598,000","$405 ","10-Feb",,,"F21",,,,"Brite Store","Yes","Yes","Yes","Yes","Yes","Yes","Tile","Full"
110,"Fairlane Town Center","Taubman","Dearborn","MI",48126,"Detroit-Ann Arbor-Flint, MI","6,570","5,164","8/26/1999","11/4/2000","5/1/2002","1/31/2011","$3,000,000 ","$1,210,618 ","$184 ","($167,340)","($50,882)","-8%","$1,315,146 ","$200 ","($47,544)","$15,826 ","$376,390 ","31.10%","$61 ","M","Urb/Sub","C","1,525,000","604,000","$350 ","10-Jan",,,"F21",,,,"Old Standard","No","No","No","No","No","No","Carpet/Tile","None"
111,"Carousel Center","Pyramid","Syracuse","NY",13290,"Syracuse, NY MSA","6,571","4,990","11/30/2007","6/30/2000","9/23/2008","1/31/2021","$2,600,000 ","$1,655,531 ","$252 ","($88,091)","$89,968 ","-6%","$1,757,783 ","$268 ","$121,176 ","$226,556 ","$465,429 ","28.10%","$0 ","M","Urb/Sub","B","1,500,000","650,000","$495 ","8-Dec",,,"F21",,,,"Brite Store","Yes","No","No","Yes","Yes","Yes","Tile","Partial"
112,"Lakeforest","Simon","Gaithersburg","MD",20877,"Washington-Baltimore, DC-MD-VA-WV","6,963","5,372","8/26/1999","11/9/2000",,"1/31/2011","$2,200,000 ","$990,463 ","$142 ","($289,907)","($289,907)","-18%","$1,205,921 ","$173 ","($75,949)","($100,727)","$458,208 ","46.30%","$39 ","M","Urb/Sub","C","1,083,000","425,000","$325 ","10-Sep",,,"F21",,,,"Old Standard","No","No","No","No","No","No","Carpet/Tile","None"
113,"Opry Mills","Simon/Mills Corp","Nashville","TN",37214,"Nashville, TN MSA","7,955","5,883","4/14/2006","5/10/2000","11/22/2006","1/31/2017","$2,000,000 ","$874,163 ","$110 ","$58,404 ","$174,217 ","-62%","$2,281,371 ","$287 ","$459,841 ","$593,929 ","$114,447 ","13.10%","$27 ","O","Outlet","B","1,200,000","547,233","$385 ","8-Aug",,,"F21",,,,"Brite Store","Yes","No","No","Yes","Yes","No","Vinyl","Partial"
114,"Plaza Carolina","Simon","Carolina","PR",983,"Puerto Rico","8,979","7,074","6/25/1999","9/2/2000",,"7/31/2010","$3,000,000 ","$1,542,117 ","$172 ","($419,417)","($271,965)","-13%","$1,771,746 ","$197 ","($93,911)","$23,936 ","$457,934 ","29.70%","$0 ","M","Urb/Sub","B","1,098,000",,"$450 ","10-Jun",,,,"PR",,,"Old Standard","No","No","No","No","No","No","Carpet/Tile","None"
115,"Ross Park Mall","Simon","Pittsburgh","PA",15237,"Pittsburgh, PA MSA","8,098","5,896","8/15/2007","6/9/2000","5/20/2008","5/31/2018","$2,200,000 ","$1,273,132 ","$157 ","($212,387)","($99,519)","-2%","$1,299,239 ","$160 ","($82,072)","$3,802 ","$482,587 ","37.90%","$35 ","M","Rural","B","1,216,609","376,845","$430 ","8-Jun",,,"F21",,,,"Brite Store","Yes","Yes","Yes","Yes","Yes","Yes","Tile","Full"
116,"Monroeville Mall","CBL","Monroeville","PA",15146,"Pittsburgh, PA MSA","7,000","5,441","6/25/1999","5/26/2000",,"1/31/2013","$2,000,000 ","$940,723 ","$134 ","($194,407)","($194,407)","-10%","$1,040,079 ","$149 ","($63,598)","($94,749)","$400,859 ","42.60%","$47 ","M","Urb/Sub","C","1,400,000","737,837","$330 ","10-Jun",,,"F21",,,,"Old Standard","No","No","No","No","No","No","Carpet/Tile","None"
117,"Spring Hill Mall","GGP","West Dundee","IL",60118,"Chicago-Gary-Kenosha, IL-IN-WI","6,870","5,339","8/18/1999","5/26/2000",,"1/31/2014","$1,800,000 ","$1,079,219 ","$157 ","($155,186)","($75,487)","-18%","$1,315,216 ","$191 ","$25,221 ","$81,149 ","$310,621 ","28.80%","$50 ","M","Rural","D","1,370,000","342,410","$289 ","10-Jun",,,,,,,"Linda Krueger","No","No","No","No","No","No","Carpet/Tile","None"
118,"Plaza Las Americas","Plaza Las Americas, Inc.","Hato Rey","PR",918,"Puerto Rico","8,995","6,998","3/31/2006","9/2/2000","11/22/2006","6/30/2015","$4,500,000 ","$3,395,071 ","$377 ","($52,040)","$104,490 ","-11%","$3,817,376 ","$424 ","$423,173 ","$605,787 ","$840,973 ","24.80%","$0 ","M","Mall","A","2,173,000",,"$750 ","8-Jun",,,"F21","PR",,,"Brite Store","Yes","No","Yes","Yes","Yes","No","Vinyl","Partial"
119,"Crystal Mall","Simon","Waterford","CT",6385,"New London--Norwich, CT--RI MSA","7,207","5,543","6/25/1999","4/13/2000",,"1/31/2011","$2,000,000 ","$947,740 ","$132 ","($241,794)","($165,221)","-20%","$1,185,565 ","$165 ","($64,364)","($11,865)","$313,719 ","33.10%","$50 ","M","Urb/Sub","B","785,830","370,000","$380 ","10-Feb",,,"F21",,,,"Old Standard","No","No","No","No","No","No","Carpet/Tile","None"
120,"Fox Valley","Westfield Corp.","Aurora","IL",60504,"Chicago-Gary-Kenosha, IL-IN-WI","7,448","5,606","5/7/1999","9/2/2000",,"5/31/2012","$2,500,000 ","$1,553,247 ","$209 ","$75,463 ","$173,805 ","1%","$1,532,402 ","$206 ","$80,303 ","$147,799 ","$319,650 ","20.60%","$50 ","M","Urb/Sub","C","1,447,309","567,557","$335 ","10-Feb",,,"F21",,,,"Old Standard","No","No","No","No","No","No","Carpet/Tile","None"
121,"La Plaza Mall","Simon","McAllen","TX",78503,"McAllen--Edinburg--Mission, TX MSA","8,178","6,486","3/31/2006","7/12/2000","10/20/2006","1/31/2017","$2,500,000 ","$3,702,476 ","$453 ","$467,664 ","$623,359 ","-28%","$5,140,094 ","$629 ","$1,498,711 ","$1,717,167 ","$675,622 ","18.20%","$50 ","M","Mall","A","1,190,138","409,326","$890 ","8-Jul",,,,,,,"Brite Store","Yes","Yes","Yes","Yes","Yes","Yes","Vinyl","Full"
122,"Stonebriar Centre","GGP","Frisco","TX",75034,"Dallas-Fort Worth, TX","7,743","6,190","9/30/2010","8/4/2000","7/15/2011","1/31/2011","$1,800,000 ","$1,725,058 ","$223 ","($44,944)","$67,232 ","-6%","$1,838,950 ","$237 ","$169,800 ","$215,157 ","$466,326 ","27.00%","$50 ","M","Urb/Sub","B","1,652,840","528,000","$455 ","10-May",,,"F21",,,,"Old Standard","No","No","No","No","No","No","Carpet/Tile","None"
123,"FlatIron Crossing","Macerich","Broomfield","CO",80021,"Denver-Aurora-Broomfield, CO MSA","7,500","6,085","4/14/2006","8/10/2000","9/29/2006","7/31/2017","$2,000,000 ","$1,788,795 ","$239 ","($173,721)","($58,920)","-17%","$2,148,344 ","$286 ","$138,888 ","$213,067 ","$568,521 ","31.80%","$40 ","M","Mall","B","1,500,000","400,000","$430 ","10-Jul",,,"F21",,,,"Brite Store","Yes","Yes","Yes","Yes","Yes","Yes","Vinyl","Full"
124,"Galleria at Roseville","Westfield Corp.","Roseville","CA",95678,"Sacramento-Arden-Arcade-Roseville, CA MSA","6,879","5,367","3/31/2006","8/25/2000","11/22/2006","1/31/2013","$2,000,000 ","$1,201,478 ","$175 ","($213,593)","($124,140)","-42%","$2,082,530 ","$303 ","$248,749 ","$326,060 ","$336,475 ","28.00%","$50 ","M","Urb/Sub","B","1,008,350","401,526","$498 ","8-Aug",,,"F21",,,,"Brite Store","Yes","No","No","Yes","Yes","No","Vinyl","Partial"
125,"North East Mall","Simon","Hurst","TX",76053,"Dallas-Fort Worth, TX","7,000","5,209","2/1/2000","9/1/2000",,"1/31/2011","$1,800,000 ","$1,236,048 ","$177 ","($113,131)","$8,502 ","-14%","$1,434,939 ","$205 ","$94,159 ","$161,066 ","$318,987 ","25.80%","$56 ","M","Urb/Sub","B","1,551,872","360,847","$455 ","10-May",,,,,,,"Old Standard","No","No","No","No","No","No","Carpet/Tile","None"
126,"Woodfield ","Taubman","Schaumburg","IL",60173,"Chicago-Gary-Kenosha, IL-IN-WI","10,645","7,015","7/6/2004","5/5/2001","6/17/2005","1/31/2014","$3,500,000 ","$3,270,283 ","$307 ","$53,373 ","$200,827 ","-10%","$3,617,696 ","$340 ","$459,583 ","$604,226 ","$812,319 ","24.80%","$22 ","M","Mall","A","2,224,000","899,000","$650 ","9-Aug",,,"F21",,,,"Brite Store","Yes","No","No","Yes","Yes","No","Maple Hardwood","Partial"
127,"Genesee Valley Center","JLL","Flint","MI",48507,"Detroit-Ann Arbor-Flint, MI","8,000","6,397","11/10/1999","10/14/2000",,"1/31/2014","$2,000,000 ","$1,259,857 ","$157 ","($137,276)","($17,247)","-9%","$1,385,572 ","$173 ","$60,551 ","$114,402 ","$355,476 ","28.20%","$50 ","M","Urb/Sub","C","1,296,628","356,000","$350 ","10-May",,,"F21",,,,"Old Standard","No","No","No","No","No","No","Carpet/Tile","None"
128,"Ridgmar Mall","Macerich","Fort Worth","TX",76116,"Dallas-Fort Worth, TX","7,442","5,946","11/10/1999","10/7/2000",,"1/31/2011","$1,800,000 ","$849,024 ","$114 ","($243,126)","($142,515)","-20%","$1,066,051 ","$143 ","$16,254 ","$36,724 ","$301,436 ","35.50%","$80 ","M","Urb/Sub","D","1,211,432","385,787","$278 ","10-Jul",,,"F21",,,,"Old Standard","No","No","No","No","No","No","Carpet/Tile","None"
129,"Arundel Mills","Simon/Mills Corp","Hanover","MD",21076,"Washington-Baltimore, DC-MD-VA-WV","8,529","6,635","4/14/2006","11/17/2000","3/23/2007","1/31/2017","$2,400,000 ","$2,639,829 ","$310 ","$359,765 ","$552,152 ","0%","$2,630,199 ","$308 ","$539,561 ","$714,976 ","$271,414 ","10.30%","$27 ","O","Outlet","B","1,400,000",,"$395 ","10-Sep",,,,,,,"Brite Store","Yes","No","No","Yes","Yes","No","Vinyl","Partial"
130,"Town East Mall","GGP","Mesquite","TX",75150,"Dallas-Fort Worth, TX","7,500","5,938","11/10/1999","11/18/2000",,"1/31/2011","$1,800,000 ","$1,189,879 ","$159 ","($102,125)","($102,125)","6%","$1,120,330 ","$149 ","($77,106)","($119,781)","$441,215 ","37.10%","$50 ","M","Urb/Sub","B","1,270,000","466,275","$365 ","10-May",,,"F21",,,,"Old Standard","No","No","No","No","No","No","Carpet/Tile","None"
131,"Woodland Hills Mall","Simon","Tulsa","OK",74133,"Tulsa, OK MSA","7,655","5,991","11/10/1999","10/21/2000",,"1/31/2011","$1,800,000 ","$2,347,352 ","$307 ","$364,844 ","$475,852 ","-14%","$2,735,456 ","$357 ","$717,375 ","$772,961 ","$314,743 ","13.40%","$50 ","M","Mall","A","1,092,673","381,950","$535 ","10-Jun",,,"F21",,,,"Old Standard","No","No","No","No","No","No","Carpet/Tile","None"
132,"Oxford Valley Mall","Simon","Langhorne","PA",19047,"Philadelphia-Wil-Atl Cty, PA-NJ-DE-MD","6,350","4,805","9/30/2010","11/3/2000","10/7/2011","1/31/2011","$1,600,000 ","$1,488,658 ","$234 ","$50,089 ","$145,381 ","2%","$1,461,545 ","$230 ","$130,646 ","$173,714 ","$343,877 ","23.10%","$50 ","M","Urb/Sub","B","1,264,451","343,955","$384 ","10-Jun",,,"F21",,,,"Old Standard","No","No","No","No","No","No","Carpet/Tile","None"
